player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Rafael Nadal,n409,0.5742102507896807,0.7044733455869658,0.6245198023331977,0.5146090315974756,0.34492922562698203,0.5420053012754091,1,31.0,5,1124,78.0,0.03225806451612903,0.0641025641025641
Roger Federer,f324,0.6653225806451613,0.6805555555555556,0.6108870967741935,0.5032051282051282,0.32859078590785906,0.6290909090909091,2,36.0,8,1044,54.0,0.027777777777777776,0.14814814814814814
Grigor Dimitrov,d875,0.6389129680998613,0.7721748400852879,0.6591106102635229,0.4575757575757576,0.36340885142255,0.4303542673107891,3,26.0,10,941,63.0,0.038461538461538464,0.15873015873015872
Alexander Zverev,z355,0.552292759371162,0.7566375304478695,0.6493085027142841,0.5173750557866031,0.23146573117986036,0.4799657543138498,4,20.0,18,841,72.0,0.05,0.25
Dominic Thiem,tb69,0.5638579430246097,0.729184340756451,0.6386339719673053,0.5105142877167688,0.3015708698938513,0.46553781522316995,5,24.0,3,808,71.0,0.041666666666666664,0.04225352112676056
Marin Cilic,c977,0.5990844821491693,0.6692546583850931,0.6323559561682572,0.5811781609195403,0.2884408602150538,0.5690854572713643,6,29.0,1,803,62.0,0.034482758620689655,0.016129032258064516
David Goffin,gb88,0.5928176087736381,0.675172231054584,0.6091014110251286,0.5156926406926408,0.3162878787878788,0.5431697931697932,7,26.0,4,802,72.0,0.038461538461538464,0.05555555555555555
Jack Sock,sm25,0.5746021974676593,0.668018749992457,0.5585797566027189,0.4224813361628645,0.3513873440371248,0.5334168082430092,8,25.0,12,731,54.0,0.04,0.2222222222222222
Stan Wawrinka,w367,0.5513526579039558,0.7777737121594881,0.6581008952574957,0.5277545903510059,0.2909735208507314,0.4720405523934906,9,32.0,-6,721,37.0,0.03125,-0.16216216216216217
Novak Djokovic,d643,0.6518162055774248,0.7012879557300983,0.6618903895269805,0.589978263298488,0.21095291187049314,0.4742700602873468,12,30.0,-10,643,39.0,0.03333333333333333,-0.2564102564102564
Sam Querrey,q927,0.6362901678283819,0.7106360045746771,0.590019184379877,0.39549879317698,0.34297161364122297,0.4907241286317373,13,30.0,14,631,55.0,0.03333333333333333,0.2545454545454545
Kevin Anderson,a678,0.5658569089063318,0.7352948746444119,0.6359416806146403,0.5070733113968616,0.30022096424786227,0.47714946583428597,14,31.0,63,629,55.0,0.03225806451612903,1.1454545454545455
