,rank,age,player,player_id,rank_change
0,1,31.0,rafael-nadal,n409,5
1,2,36.0,roger-federer,f324,8
2,3,26.0,grigor-dimitrov,d875,10
3,4,20.0,alexander-zverev,z355,18
4,5,24.0,dominic-thiem,tb69,3
5,6,29.0,marin-cilic,c977,1
6,7,26.0,david-goffin,gb88,4
7,8,25.0,jack-sock,sm25,12
8,9,32.0,stan-wawrinka,w367,-6
9,10,26.0,pablo-carreno%20busta,cd85,16
10,11,29.0,juan%20martin-del%20potro,d683,27
11,12,30.0,novak-djokovic,d643,-10
12,13,30.0,sam-querrey,q927,14
13,14,31.0,kevin-anderson,a678,63
14,15,32.0,jo-wilfried-tsonga,t786,-1
15,16,30.0,andy-murray,mc10,-15
16,17,32.0,john-isner,i186,6
17,18,23.0,lucas-pouille,pf39,-1
18,19,32.0,tomas-berdych,ba47,-7
19,20,29.0,roberto-bautista%20agut,bd06,-4
20,21,22.0,nick-kyrgios,ke17,-6
21,22,27.0,kei-nishikori,n552,-17
22,23,29.0,albert-ramos-vinolas,r772,7
23,24,26.0,milos-raonic,r975,-20
24,25,34.0,gilles-muller,ma30,3
25,26,25.0,diego-schwartzman,sm37,27
26,27,30.0,fabio-fognini,f510,21
27,28,29.0,adrian-mannarino,me82,32
28,29,34.0,philipp-kohlschreiber,k435,0
29,30,25.0,damir-dzumhur,d923,52
30,31,31.0,richard-gasquet,g628,-13
31,32,31.0,pablo-cuevas,c882,-11
32,33,30.0,mischa-zverev,z168,2
33,34,25.0,filip-krajinovic,kb05,195
34,35,34.0,fernando-verdasco,v306,5
35,36,36.0,feliciano-lopez,l397,-3
36,37,35.0,david-ferrer,f401,-12
37,38,29.0,alexandr-dolgopolov,d801,31
38,39,20.0,andrey-rublev,re44,82
39,40,29.0,yuichi-sugita,se73,77
40,41,28.0,benoit-paire,pd31,3
41,42,30.0,robin-haase,h756,14
42,43,35.0,paolo-lorenzi,l503,0
43,44,27.0,steve-johnson,j386,-13
44,45,21.0,karen-khachanov,ke29,7
45,46,31.0,gael-monfils,mc65,-37
46,47,25.0,ryan-harrison,h940,31
47,48,21.0,borna-coric,cg80,9
48,49,28.0,aljaz-bedene,bh09,61
49,50,22.0,kyle-edmund,e831,-3
50,51,18.0,denis-shapovalov,su55,183
51,52,30.0,leonardo-mayer,md56,95
52,53,27.0,jan-lennard-struff,sl28,6
53,54,21.0,jared-donaldson,dc58,46
54,55,31.0,viktor-troicki,t840,-18
55,56,31.0,denis-istomin,i165,24
56,57,35.0,julien-benneteau,b747,73
57,58,28.0,joao-sousa,sh90,-17
58,59,21.0,hyeon-chung,ch27,14
59,60,25.0,nikoloz-basilashvili,bg23,29
60,61,28.0,peter-gojowczyk,g967,101
61,62,28.0,donald-young,y124,12
62,63,24.0,jiri-vesely,v708,-9
63,64,27.0,guido-pella,pc11,20
64,65,21.0,daniil-medvedev,mm58,-2
65,66,32.0,horacio-zeballos,z184,6
66,67,32.0,dudi-sela,sc56,8
67,68,27.0,federico-delbonis,d874,-19
68,69,34.0,florian-mayer,mb02,-19
69,70,34.0,guillermo-garcia-lopez,g476,24
70,71,34.0,yen-hsun-lu,l575,-10
71,72,27.0,evgeny-donskoy,d864,60
72,73,28.0,thomas-fabbiano,f586,58
73,74,29.0,mikhail-kukushkin,k926,25
74,75,27.0,dusan-lajovic,l987,17
75,76,33.0,steve-darcis,d632,-18
76,77,30.0,jeremy-chardy,ca12,-6
77,78,19.0,frances-tiafoe,td51,19
78,79,38.0,ivo-karlovic,k336,-60
79,80,29.0,matthew-ebden,e690,568
